benchmark,ablation,answer_space,subset_n,changed,full_wins,ablation_wins,full_net_gain,full_acc_overall,ablation_acc_overall,changed_subset_full_acc,changed_subset_ablation_acc,changed_subset_delta
ocrbench,no_base_consistency,unknown,64,4,0,0,0,0.265625,0.265625,0.000000,0.000000,0.000000
ocrbench,no_length_risk,caption_like,53,0,0,0,0,0.301887,0.301887,NA,NA,NA
ocrbench,no_length_risk,chart_or_diagram,66,0,0,0,0,0.545455,0.545455,NA,NA,NA
ocrbench,no_length_risk,multiple_choice,9,0,0,0,0,0.444444,0.444444,NA,NA,NA
ocrbench,no_length_risk,numeric,209,0,0,0,0,0.789474,0.789474,NA,NA,NA
ocrbench,no_length_risk,ocr_text_short,327,0,0,0,0,0.828746,0.828746,NA,NA,NA
ocrbench,no_length_risk,open_entity,272,0,0,0,0,0.724265,0.724265,NA,NA,NA
ocrbench,no_length_risk,unknown,64,0,0,0,0,0.265625,0.265625,NA,NA,NA
ocrbench,majority_vote,caption_like,53,0,0,0,0,0.301887,0.301887,NA,NA,NA
ocrbench,majority_vote,chart_or_diagram,66,0,0,0,0,0.545455,0.545455,NA,NA,NA
ocrbench,majority_vote,multiple_choice,9,0,0,0,0,0.444444,0.444444,NA,NA,NA
ocrbench,majority_vote,numeric,209,0,0,0,0,0.789474,0.789474,NA,NA,NA
ocrbench,majority_vote,ocr_text_short,327,0,0,0,0,0.828746,0.828746,NA,NA,NA
ocrbench,majority_vote,open_entity,272,0,0,0,0,0.724265,0.724265,NA,NA,NA
ocrbench,majority_vote,unknown,64,0,0,0,0,0.265625,0.265625,NA,NA,NA
